-,-,-,Форма контроля,,,,з.е.,-,Итого акад.часов,,,,,,Курс 1,,,,,,,,,,,,,,Курс 2,,,,,,,,,,,,,,Курс 3,,,,,,,,,,,,,,Курс 4,,,,,,,,,,,,,,Курс 5,,,,,,,,,,,,,,Курс 6,,,,,,,,,,,,,,Закрепленная кафедра
,,,,,,,,,,,,,,,Семестр 1,,,,,,,Семестр 2,,,,,,,Семестр 3,,,,,,,Семестр 4,,,,,,,Семестр 5,,,,,,,Семестр 6,,,,,,,Семестр 7,,,,,,,Семестр 8,,,,,,,Семестр 9,,,,,,,Семестр A,,,,,,,Семестр B,,,,,,,Семестр C,,,,,,,
Считать в плане,Индекс,Наименование,Экза мен,Зачет,Зачет с оц.,КР,Факт,Часов в з.е.,Экспер тное,По плану,Конт. раб.,Ауд.,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,Код
+,Б1.О.15,Физическая культура и спорт,,1256,,,2,36,72,72,72,72,,,0.5,18,6,,12,,,0.5,18,4,,14,,,,,,,,,,,,,,,,,0.5,18,4,,14,,,0.5,18,4,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346
+,Б1.О.16,Прикладная физическая культура и спорт,,123456,,,,,328,328,328,328,,,,50,,,50,,,,50,,,50,,,,68,,,68,,,,68,,,68,,,,46,,,46,,,,46,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346
+,Б1.О.17,Правоведение,,2,,,3,36,108,108,72,72,36,,,,,,,,,3,108,36,,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226
+,Б1.О.18,Личностное развитие и командообразование,,5,,,4,36,144,144,72,72,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,18,,54,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383
+,Б1.О.19,Теория и практика эффективного речевого общения,,4,,,3,36,108,108,54,54,54,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388
+,Б1.О.20,Экономическая культура и финансовая грамотность,,6,,,3,36,108,108,54,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443
+,Б1.О.21,Введение в профессиональную деятельность,,2,,,3,36,108,108,54,54,54,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.22,Организационное и правовое обеспечение информационной безопасности,,9,,,3,36,108,108,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,36,,36,36,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.23,Алгебра,2,1,,,7,36,252,252,126,126,90,36,3,108,36,,36,36,,4,144,36,,18,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.24,Аналитическая геометрия,1,,,,5,36,180,180,72,72,72,36,5,180,36,,36,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.25,Дополнительные главы алгебры,3,,,,5,36,180,180,72,72,72,36,,,,,,,,,,,,,,,5,180,36,,36,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.26,Математический анализ,2,1,,,10,36,360,360,180,180,144,36,5,180,36,,54,90,,5,180,36,,54,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.27,Дополнительные главы математического анализа,4,3,,,9,36,324,324,162,162,126,36,,,,,,,,,,,,,,,4,144,36,,36,72,,5,180,36,,54,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.28,Дискретная математика,2,,,,5,36,180,180,72,72,72,36,,,,,,,,5,180,36,,36,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.29,Математическая логика и теория алгоритмов,,3,,3,4,36,144,144,54,54,90,,,,,,,,,,,,,,,,4,144,18,,36,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.30,Теория вероятностей и математическая статистика,45,,,,10,36,360,360,144,144,144,72,,,,,,,,,,,,,,,,,,,,,,5,180,36,,36,72,36,5,180,36,,36,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.31,Дифференциальные уравнения,,4,,,3,36,108,108,72,72,36,,,,,,,,,,,,,,,,,,,,,,,3,108,36,,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.32,Теория функций комплексного переменного,,5,,,3,36,108,108,54,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,36,,18,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.33,Численные методы,,6,,,2,36,72,72,54,54,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,18,36,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.34,Исследование операций,7,,,,5,36,180,180,72,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,,36,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.35,Физика,3,2,,,8,36,288,288,126,126,126,36,,,,,,,,4,144,36,18,18,72,,4,144,18,18,18,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141
+,Б1.О.36,Сети и системы передачи информации,7,,,,5,36,180,180,72,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,18,18,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92
+,Б1.О.37,Электроника и схемотехника,5,4,,,10,36,360,360,144,144,180,36,,,,,,,,,,,,,,,,,,,,,,4,144,36,18,18,72,,6,216,36,18,18,108,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97
