з.е.,Распределение з.е. по курсам и периодам обучения,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Курс 1,,,,,,,,,Курс 2,,,,,,,,,Курс 3,,,,,,,,,Курс 4,,,,,,,
,,Сем. 1,,,,Сем. 2,,,,,Сем. 3,,,,Сем. 4,,,,,Сем. 5,,,,Сем. 6,,,,,Сем. 7,,,,Сем. 8,,,
,,,Индекс,Наименование,з.е.,,Индекс,Наименование,з.е.,,,Индекс,Наименование,з.е.,,Индекс,Наименование,з.е.,,,Индекс,Наименование,з.е.,,Индекс,Наименование,з.е.,,,Индекс,Наименование,з.е.,,Индекс,Наименование,з.е.
,,,,"Б3.01(Д)
Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы
[ЗаО]
УК-1.1; УК-1.2; УК-1.3; УК-2.1; УК-2.2; УК-2.3; УК-2.4; УК-3.1; УК-3.2; УК-3.3; УК-4.1; УК-4.2; УК-4.3; УК-5.1; УК-5.2; УК-6.1; УК-6.2; УК-7.1; УК-7.2; УК-8.1; УК-8.2; УК-9.1; УК-9.2; УК-9.3; УК-10.1; УК-10.2; УК-10.3; УК-11.1; УК-11.2; ОПК-1.1; ОПК-1.2; ОПК-2.1; ОПК-2.2; ОПК-3.1; ОПК-3.2; ОПК-3.3; ОПК-4.1; ОПК-4.2; ОПК-5.1; ОПК-5.2; ОПК-5.3; ОПК-6.1; ОПК-6.2; ОПК-7.1; ОПК-7.2; ОПК-7.3; ОПК-7.4; ОПК-8.1; ОПК-8.2; ОПК-8.3; ОПК-9.1; ОПК-9.2; ОПК-10.1; ОПК-10.2; ПК-1.1; ПК-1.2; ПК-1.3; ПК-1.4; ПК-2.1; ПК-2.2; ПК-2.3; ПК-2.4; ПК-2.5; ПК-3.1; ПК-3.2; ПК-3.3; ПК-4.1; ПК-4.2; ПК-4.3; ПК-4.4; ПК-5.1; ПК-5.2; ПК-5.3; ПК-6.1; ПК-6.2; ПК-6.3; ПК-6.4; ПК-7.1; ПК-7.2; ПК-7.3; ПК-7.4; ПК-7.5; ПК-8.1; ПК-8.2; ПК-8.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Итого,,60,,,,,,,,,60,,,,,,,,,62,,,,,,,,,63,,,,,,,
Всего,,27.5,,,,32.5,,,,,28,,,,32,,,,,30.5,,,,31.5,,,,,32,,,,31,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,{$},,"Б1.О.02
История
[За]
УК-5.1",2,{$},,"Б1.О.02
История
[За]
УК-5.1",2,,{$},,"Б1.О.03
Иностранный язык
[За]
УК-4.1; УК-4.2; УК-4.3",2,{$},,"Б1.О.01
Философия
[Эк]
УК-1.1; УК-1.2; УК-1.3; УК-5.2",4,,{$},,"Б1.О.08
Физическая культура и спорт
[За]
УК-7.1; УК-7.2",0.5,{$},,"Б1.О.08
Физическая культура и спорт
[За]
УК-7.1; УК-7.2",0.5,,{$},,"Б1.О.23
Управление в организационных системах
[За]
УК-1.1; УК-1.2; УК-1.3; ОПК-7.3",3,{$},,"Б1.В.07
Нейронные сети и их приложения
[Эк, КР]
УК-1.1; УК-1.2; УК-1.3; ПК-7.1; ПК-7.2; ПК-7.3; ПК-7.4; ПК-7.5",7
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
